"species" "ID" "n"
"250" "BrookTrout" "10745_21" 1
"251" "BrookTrout" "10745_37" 1
"252" "BrookTrout" "10757_17" 1
"253" "BrookTrout" "1076_12" 1
"254" "BrookTrout" "1076_41" 1
"255" "BrookTrout" "10762_11" 1
"256" "BrookTrout" "10763_54" 1
"257" "BrookTrout" "10769_11" 1
"258" "BrookTrout" "10769_35" 1
"259" "BrookTrout" "10771_24" 1
"260" "BrookTrout" "10771_27" 1
"261" "BrookTrout" "10771_31" 1
"262" "BrookTrout" "10771_60" 1
"263" "BrookTrout" "10774_55" 1
"264" "BrookTrout" "10779_10" 1
"265" "BrookTrout" "1078_26" 1
"266" "BrookTrout" "10783_17" 1
"267" "BrookTrout" "10783_57" 1
"268" "BrookTrout" "10783_58" 1
"269" "BrookTrout" "10793_21" 1
"270" "BrookTrout" "10793_57" 1
"271" "BrookTrout" "10795_22" 1
"272" "BrookTrout" "10795_45" 1
"273" "BrookTrout" "10799_10" 1
"274" "BrookTrout" "10799_50" 1
"275" "BrookTrout" "1080_62" 1
"276" "BrookTrout" "10800_23" 1
"277" "BrookTrout" "10800_58" 1
"278" "BrookTrout" "10804_43" 1
"279" "BrookTrout" "10804_44" 1
"280" "BrookTrout" "10804_45" 1
"281" "BrookTrout" "10805_65" 1
"282" "BrookTrout" "10807_37" 1
"283" "BrookTrout" "10807_56" 1
"284" "BrookTrout" "10807_57" 1
"285" "BrookTrout" "10807_58" 1
"286" "BrookTrout" "10807_59" 1
"287" "BrookTrout" "10807_60" 1
"288" "BrookTrout" "10807_64" 1
"289" "BrookTrout" "10813_40" 1
"290" "BrookTrout" "10815_24" 1
"291" "BrookTrout" "10815_42" 1
"292" "BrookTrout" "10815_64" 1
"293" "BrookTrout" "10817_41" 1
"294" "BrookTrout" "10819_19" 1
"295" "BrookTrout" "10819_26" 1
"296" "BrookTrout" "10820_11" 1
"297" "BrookTrout" "10820_29" 1
"298" "BrookTrout" "10822_55" 1
"299" "BrookTrout" "10827_40" 1
"300" "BrookTrout" "10827_63" 1
"301" "BrookTrout" "10829_46" 1
"302" "BrookTrout" "1083_62" 1
"303" "BrookTrout" "1083_64" 1
"304" "BrookTrout" "10840_33" 1
"305" "BrookTrout" "10840_56" 1
"306" "BrookTrout" "10840_60" 1
"307" "BrookTrout" "10840_64" 1
"308" "BrookTrout" "10840_65" 1
"309" "BrookTrout" "10844_39" 1
"310" "BrookTrout" "10844_59" 1
"311" "BrookTrout" "10846_15" 1
"312" "BrookTrout" "10850_64" 1
"313" "BrookTrout" "10851_7" 1
"314" "BrookTrout" "10854_37" 1
"315" "BrookTrout" "10855_22" 1
"316" "BrookTrout" "10859_33" 1
"317" "BrookTrout" "10883_60" 1
"318" "BrookTrout" "10896_47" 1
"319" "BrookTrout" "10896_62" 1
"320" "BrookTrout" "10907_59" 1
"321" "BrookTrout" "10908_59" 1
"322" "BrookTrout" "1091_24" 1
"323" "BrookTrout" "1091_62" 1
"324" "BrookTrout" "10918_21" 1
"325" "BrookTrout" "10918_26" 1
"326" "BrookTrout" "10918_36" 1
"327" "BrookTrout" "10918_39" 1
"328" "BrookTrout" "10918_40" 1
"329" "BrookTrout" "10918_48" 1
"330" "BrookTrout" "1093_22" 1
"331" "BrookTrout" "1093_37" 1
"332" "BrookTrout" "10933_25" 1
"333" "BrookTrout" "10933_30" 1
"334" "BrookTrout" "10933_36" 1
"335" "BrookTrout" "10933_43" 1
"336" "BrookTrout" "10933_49" 1
"337" "BrookTrout" "10933_51" 1
"338" "BrookTrout" "10938_52" 1
"339" "BrookTrout" "10938_55" 1
"340" "BrookTrout" "10938_62" 1
"341" "BrookTrout" "10943_43" 1
"342" "BrookTrout" "10945_46" 1
"343" "BrookTrout" "10946_27" 1
"344" "BrookTrout" "10946_62" 1
"345" "BrookTrout" "10946_64" 1
"346" "BrookTrout" "10946_65" 1
"347" "BrookTrout" "10947_17" 1
"348" "BrookTrout" "10950_38" 1
"349" "BrookTrout" "10950_55" 1
"350" "BrookTrout" "10960_27" 1
"351" "BrookTrout" "10960_41" 1
"352" "BrookTrout" "10967_60" 1
"353" "BrookTrout" "10972_62" 1
"354" "BrookTrout" "10973_32" 1
"355" "BrookTrout" "10975_13" 1
"356" "BrookTrout" "10975_41" 1
"357" "BrookTrout" "1098_44" 1
"358" "BrookTrout" "1098_45" 1
"359" "BrookTrout" "10980_18" 1
"360" "BrookTrout" "10983_35" 1
"361" "BrookTrout" "10987_10" 1
"362" "BrookTrout" "10990_56" 1
"363" "BrookTrout" "10992_65" 1
"364" "BrookTrout" "10994_7" 1
"365" "BrookTrout" "10997_10" 1
"366" "BrookTrout" "10998_22" 1
"367" "BrookTrout" "10998_25" 1
"368" "BrookTrout" "10999_20" 1
"369" "BrookTrout" "110_51" 1
"370" "BrookTrout" "11007_45" 1
"371" "BrookTrout" "11009_10" 1
"372" "BrookTrout" "1101_61" 1
"373" "BrookTrout" "11010_36" 1
"374" "BrookTrout" "11013_13" 1
"375" "BrookTrout" "11013_22" 1
"376" "BrookTrout" "11018_55" 1
"377" "BrookTrout" "1102_42" 1
"378" "BrookTrout" "11020_31" 1
"379" "BrookTrout" "11020_44" 1
"380" "BrookTrout" "11021_34" 1
"381" "BrookTrout" "11021_57" 1
"382" "BrookTrout" "11026_11" 1
"383" "BrookTrout" "11028_50" 1
"384" "BrookTrout" "11028_51" 1
"385" "BrookTrout" "11037_10" 1
"386" "BrookTrout" "11037_44" 1
"387" "BrookTrout" "11041_32" 1
"388" "BrookTrout" "11041_42" 1
"389" "BrookTrout" "11045_15" 1
"390" "BrookTrout" "11046_62" 1
"391" "BrookTrout" "11051_40" 1
"392" "BrookTrout" "1106_31" 1
"393" "BrookTrout" "11061_38" 1
"394" "BrookTrout" "11061_64" 1
"395" "BrookTrout" "11062_65" 1
"396" "BrookTrout" "11063_48" 1
"397" "BrookTrout" "11066_9" 1
"398" "BrookTrout" "11067_47" 1
"399" "BrookTrout" "11068_39" 1
"400" "BrookTrout" "11068_43" 1
"401" "BrookTrout" "11068_47" 1
"402" "BrookTrout" "11072_16" 1
"403" "BrookTrout" "11076_10" 1
"404" "BrookTrout" "11076_40" 1
"405" "BrookTrout" "11076_62" 1
"406" "BrookTrout" "11077_10" 1
"407" "BrookTrout" "11081_60" 1
"408" "BrookTrout" "11093_58" 1
"409" "BrookTrout" "11106_35" 1
"410" "BrookTrout" "11106_43" 1
"411" "BrookTrout" "11112_49" 1
"412" "BrookTrout" "11113_11" 1
"413" "BrookTrout" "11116_29" 1
"414" "BrookTrout" "11116_30" 1
"415" "BrookTrout" "11116_31" 1
"416" "BrookTrout" "11116_58" 1
"417" "BrookTrout" "11116_59" 1
"418" "BrookTrout" "11117_56" 1
"419" "BrookTrout" "11120_59" 1
"420" "BrookTrout" "11132_22" 1
"421" "BrookTrout" "11132_23" 1
"422" "BrookTrout" "11133_39" 1
"423" "BrookTrout" "11136_10" 1
"424" "BrookTrout" "11136_27" 1
"425" "BrookTrout" "11136_32" 1
"426" "BrookTrout" "11136_40" 1
"427" "BrookTrout" "11139_29" 1
"428" "BrookTrout" "11139_38" 1
"429" "BrookTrout" "11139_43" 1
"430" "BrookTrout" "11139_44" 1
"431" "BrookTrout" "11139_45" 1
"432" "BrookTrout" "11141_44" 1
"433" "BrookTrout" "11151_10" 1
"434" "BrookTrout" "11153_17" 1
"435" "BrookTrout" "11159_11" 1
"436" "BrookTrout" "11160_57" 1
"437" "BrookTrout" "11160_58" 1
"438" "BrookTrout" "11163_53" 1
"439" "BrookTrout" "11163_65" 1
"440" "BrookTrout" "11164_16" 1
"441" "BrookTrout" "1117_32" 1
"442" "BrookTrout" "11172_43" 1
"443" "BrookTrout" "11188_54" 1
"444" "BrookTrout" "11189_57" 1
"445" "BrookTrout" "11189_60" 1
"446" "BrookTrout" "11189_61" 1
"447" "BrookTrout" "11189_62" 1
"448" "BrookTrout" "11189_65" 1
"449" "BrookTrout" "11190_13" 1
"450" "BrookTrout" "11199_43" 1
"451" "BrookTrout" "112_60" 1
"452" "BrookTrout" "11208_31" 1
"453" "BrookTrout" "11213_65" 1
"454" "BrookTrout" "11220_37" 1
"455" "BrookTrout" "11228_17" 1
"456" "BrookTrout" "11238_34" 1
"457" "BrookTrout" "11239_37" 1
"458" "BrookTrout" "11247_11" 1
"459" "BrookTrout" "11248_8" 1
"460" "BrookTrout" "1125_50" 1
"461" "BrookTrout" "11251_23" 1
"462" "BrookTrout" "11251_26" 1
"463" "BrookTrout" "11256_59" 1
"464" "BrookTrout" "11263_48" 1
"465" "BrookTrout" "11267_21" 1
"466" "BrookTrout" "11277_36" 1
"467" "BrookTrout" "11278_23" 1
"468" "BrookTrout" "11285_10" 1
"469" "BrookTrout" "11287_23" 1
"470" "BrookTrout" "11295_17" 1
"471" "BrookTrout" "11295_47" 1
"472" "BrookTrout" "11299_37" 1
"473" "BrookTrout" "11299_62" 1
"474" "BrookTrout" "11302_54" 1
"475" "BrookTrout" "11309_39" 1
"476" "BrookTrout" "11311_22" 1
"477" "BrookTrout" "11312_35" 1
"478" "BrookTrout" "11312_41" 1
"479" "BrookTrout" "11315_21" 1
"480" "BrookTrout" "11319_12" 1
"481" "BrookTrout" "11319_45" 1
"482" "BrookTrout" "11320_18" 1
"483" "BrookTrout" "11320_9" 1
"484" "BrookTrout" "11338_7" 1
"485" "BrookTrout" "11339_15" 1
"486" "BrookTrout" "11342_35" 1
"487" "BrookTrout" "11342_55" 1
"488" "BrookTrout" "1136_48" 1
"489" "BrookTrout" "11365_14" 1
"490" "BrookTrout" "11368_42" 1
"491" "BrookTrout" "11373_16" 1
"492" "BrookTrout" "11373_17" 1
"493" "BrookTrout" "11373_35" 1
"494" "BrookTrout" "11374_31" 1
"495" "BrookTrout" "11375_10" 1
"496" "BrookTrout" "11376_57" 1
"497" "BrookTrout" "11377_27" 1
"498" "BrookTrout" "1138_43" 1
"499" "BrookTrout" "11380_57" 1
"500" "BrookTrout" "11382_62" 1
"501" "BrookTrout" "11385_49" 1
"502" "BrookTrout" "11396_18" 1
"503" "BrookTrout" "11397_16" 1
"504" "BrookTrout" "11402_28" 1
"505" "BrookTrout" "11407_42" 1
"506" "BrookTrout" "11407_43" 1
"507" "BrookTrout" "11415_10" 1
"508" "BrookTrout" "11415_24" 1
"509" "BrookTrout" "11419_62" 1
"510" "BrookTrout" "1142_26" 1
"511" "BrookTrout" "11422_15" 1
"512" "BrookTrout" "11425_23" 1
"513" "BrookTrout" "11425_35" 1
"514" "BrookTrout" "11425_65" 1
"515" "BrookTrout" "11428_58" 1
"516" "BrookTrout" "11431_18" 1
"517" "BrookTrout" "11436_6" 1
"518" "BrookTrout" "11438_63" 1
"519" "BrookTrout" "11442_52" 1
"520" "BrookTrout" "11444_49" 1
"521" "BrookTrout" "11444_57" 1
"522" "BrookTrout" "11447_62" 1
"523" "BrookTrout" "11447_9" 1
"524" "BrookTrout" "11450_50" 1
"525" "BrookTrout" "11456_38" 1
"526" "BrookTrout" "11459_22" 1
"527" "BrookTrout" "1147_28" 1
"528" "BrookTrout" "1147_58" 1
"529" "BrookTrout" "11473_38" 1
"530" "BrookTrout" "11477_28" 1
"531" "BrookTrout" "11478_61" 1
"532" "BrookTrout" "11486_41" 1
"533" "BrookTrout" "11487_38" 1
"534" "BrookTrout" "11491_42" 1
"535" "BrookTrout" "115_14" 1
"536" "BrookTrout" "11502_64" 1
"537" "BrookTrout" "11503_46" 1
"538" "BrookTrout" "11506_13" 1
"539" "BrookTrout" "11506_8" 1
"540" "BrookTrout" "11509_14" 1
"541" "BrookTrout" "11509_22" 1
"542" "BrookTrout" "11513_16" 1
"543" "BrookTrout" "11513_6" 1
"544" "BrookTrout" "11516_51" 1
"545" "BrookTrout" "11516_52" 1
"546" "BrookTrout" "11516_65" 1
"547" "BrookTrout" "11520_8" 1
"548" "BrookTrout" "11523_26" 1
"549" "BrookTrout" "11523_35" 1
"550" "BrookTrout" "11525_36" 1
"551" "BrookTrout" "11528_9" 1
"552" "BrookTrout" "1153_27" 1
"553" "BrookTrout" "11533_65" 1
"554" "BrookTrout" "11534_40" 1
"555" "BrookTrout" "11534_50" 1
"556" "BrookTrout" "11538_11" 1
"557" "BrookTrout" "11554_21" 1
"558" "BrookTrout" "11554_52" 1
"559" "BrookTrout" "11556_11" 1
"560" "BrookTrout" "11561_35" 1
"561" "BrookTrout" "11562_29" 1
"562" "BrookTrout" "11562_54" 1
"563" "BrookTrout" "11562_55" 1
"564" "BrookTrout" "11568_29" 1
"565" "BrookTrout" "1157_34" 1
"566" "BrookTrout" "11570_64" 1
"567" "BrookTrout" "11575_11" 1
"568" "BrookTrout" "11579_35" 1
"569" "BrookTrout" "11581_40" 1
"570" "BrookTrout" "11585_12" 1
"571" "BrookTrout" "11587_16" 1
"572" "BrookTrout" "11587_44" 1
"573" "BrookTrout" "11589_54" 1
"574" "BrookTrout" "11594_46" 1
"575" "BrookTrout" "11594_65" 1
"576" "BrookTrout" "11598_23" 1
"577" "BrookTrout" "116_10" 1
"578" "BrookTrout" "11601_57" 1
"579" "BrookTrout" "11605_56" 1
"580" "BrookTrout" "11614_60" 1
"581" "BrookTrout" "11614_8" 1
"582" "BrookTrout" "11626_7" 1
"583" "BrookTrout" "11627_34" 1
"584" "BrookTrout" "11629_10" 1
"585" "BrookTrout" "11639_20" 1
"586" "BrookTrout" "11640_31" 1
"587" "BrookTrout" "11640_61" 1
"588" "BrookTrout" "11650_17" 1
"589" "BrookTrout" "11650_38" 1
"590" "BrookTrout" "11653_11" 1
"591" "BrookTrout" "11663_53" 1
"592" "BrookTrout" "11670_40" 1
"593" "BrookTrout" "11672_24" 1
"594" "BrookTrout" "11679_22" 1
"595" "BrookTrout" "11681_30" 1
"596" "BrookTrout" "11681_35" 1
"597" "BrookTrout" "11685_60" 1
"598" "BrookTrout" "11701_58" 1
"599" "BrookTrout" "11701_65" 1
"600" "BrookTrout" "11717_13" 1
"601" "BrookTrout" "11726_18" 1
"602" "BrookTrout" "11728_65" 1
"603" "BrookTrout" "11729_28" 1
"604" "BrookTrout" "11729_37" 1
"605" "BrookTrout" "11732_61" 1
"606" "BrookTrout" "11733_55" 1
"607" "BrookTrout" "11744_58" 1
"608" "BrookTrout" "11744_62" 1
"609" "BrookTrout" "11744_63" 1
"610" "BrookTrout" "11744_65" 1
"611" "BrookTrout" "11748_62" 1
"612" "BrookTrout" "1175_55" 1
"613" "BrookTrout" "11751_19" 1
"614" "BrookTrout" "11757_22" 1
"615" "BrookTrout" "11764_21" 1
"616" "BrookTrout" "11766_46" 1
"617" "BrookTrout" "11770_15" 1
"618" "BrookTrout" "11770_63" 1
"619" "BrookTrout" "11771_12" 1
"620" "BrookTrout" "11773_44" 1
"621" "BrookTrout" "11790_22" 1
"622" "BrookTrout" "11795_65" 1
"623" "BrookTrout" "1180_63" 1
"624" "BrookTrout" "11800_43" 1
"625" "BrookTrout" "11800_44" 1
"626" "BrookTrout" "11800_53" 1
"627" "BrookTrout" "11801_57" 1
"628" "BrookTrout" "11801_59" 1
"629" "BrookTrout" "11803_38" 1
"630" "BrookTrout" "11803_43" 1
"631" "BrookTrout" "11809_47" 1
"632" "BrookTrout" "11809_51" 1
"633" "BrookTrout" "11818_55" 1
"634" "BrookTrout" "11818_56" 1
"635" "BrookTrout" "11819_21" 1
"636" "BrookTrout" "11819_44" 1
"637" "BrookTrout" "11819_8" 1
"638" "BrookTrout" "11822_21" 1
"639" "BrookTrout" "1183_36" 1
"640" "BrookTrout" "1183_38" 1
"641" "BrookTrout" "11830_25" 1
"642" "BrookTrout" "11833_17" 1
"643" "BrookTrout" "11847_21" 1
"644" "BrookTrout" "11855_13" 1
"645" "BrookTrout" "11855_63" 1
"646" "BrookTrout" "11859_15" 1
"647" "BrookTrout" "11861_14" 1
"648" "BrookTrout" "11861_34" 1
"649" "BrookTrout" "11862_14" 1
"650" "BrookTrout" "11862_17" 1
"651" "BrookTrout" "11862_49" 1
"652" "BrookTrout" "11862_55" 1
"653" "BrookTrout" "11862_59" 1
"654" "BrookTrout" "11868_36" 1
"655" "BrookTrout" "11878_23" 1
"656" "BrookTrout" "11880_39" 1
"657" "BrookTrout" "11887_65" 1
"658" "BrookTrout" "11888_18" 1
"659" "BrookTrout" "11893_58" 1
"660" "BrookTrout" "11896_40" 1
"661" "BrookTrout" "11896_42" 1
"662" "BrookTrout" "11896_54" 1
"663" "BrookTrout" "1190_64" 1
"664" "BrookTrout" "11900_62" 1
"665" "BrookTrout" "11902_17" 1
"666" "BrookTrout" "11903_49" 1
"667" "BrookTrout" "11904_55" 1
"668" "BrookTrout" "11906_17" 1
"669" "BrookTrout" "11906_18" 1
"670" "BrookTrout" "11906_58" 1
"671" "BrookTrout" "11914_6" 1
"672" "BrookTrout" "11915_55" 1
"673" "BrookTrout" "11919_18" 1
"674" "BrookTrout" "1192_37" 1
"675" "BrookTrout" "11923_34" 1
"676" "BrookTrout" "11924_62" 1
"677" "BrookTrout" "11931_18" 1
"678" "BrookTrout" "11931_63" 1
"679" "BrookTrout" "11931_64" 1
"680" "BrookTrout" "11931_65" 1
"681" "BrookTrout" "11932_55" 1
"682" "BrookTrout" "11943_17" 1
"683" "BrookTrout" "11943_41" 1
"684" "BrookTrout" "11944_38" 1
"685" "BrookTrout" "11949_36" 1
"686" "BrookTrout" "1195_14" 1
"687" "BrookTrout" "1195_21" 1
"688" "BrookTrout" "1195_6" 1
"689" "BrookTrout" "11950_59" 1
"690" "BrookTrout" "11953_36" 1
"691" "BrookTrout" "11956_21" 1
"692" "BrookTrout" "11957_7" 1
"693" "BrookTrout" "11960_63" 1
"694" "BrookTrout" "11961_60" 1
"695" "BrookTrout" "11962_45" 1
"696" "BrookTrout" "11965_41" 1
"697" "BrookTrout" "11965_62" 1
"698" "BrookTrout" "11966_53" 1
"699" "BrookTrout" "11966_56" 1
